OntoClass,OntoProperty,AntMin,AntMax,DataMin,DataMax,Mean,Mode,Quad. Mean,Kurtosis,Std. Deviation,Skewness,Variance,98P,2P,75P,25P,"Dist, Card.",Dist. Mean.,Dist. Quad. Mean.,Dist. Kur.,Dist. Std. Devi.,Dist. Skew.,Dist. Vari.,P. Min.,P. Max.,P. Mode.,P. 0,P.1,P. Mean,P. Quad. Mean.,P. Kurtosis.,P. Std. Dev.,P. Skew.,P. Vari.
dbo:Award,dbo:country,M0,M1,0,3,0.53907,1,0.75166,-0.82446,0.52393,0.1896,0.2745,1,0,1,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.0018,0.51855,0.51855,0.47209,0.51855,0.25,0.35065,-5.86456,0.28391,0.02278,0.08061
dbo:Award,dbo:wikiPageID,M0,M1,0,1,0.51855,1,0.7201,-1.99592,0.49975,-0.07427,0.24975,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48145,0.51855,0.51855,0.48145,0.51855,0.5,0.50034,0,0.02623,0,0.00069
dbo:Award,dbo:wikiPageRevisionID,M0,M1,0,1,0.51855,1,0.7201,-1.99592,0.49975,-0.07427,0.24975,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48145,0.51855,0.51855,0.48145,0.51855,0.5,0.50034,0,0.02623,0,0.00069
dbo:Award,http://www.w3.org/ns/prov#wasDerivedFrom,M0,M1,0,1,0.51855,1,0.7201,-1.99592,0.49975,-0.07427,0.24975,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48145,0.51855,0.51855,0.48145,0.51855,0.5,0.50034,0,0.02623,0,0.00069
dbo:Award,foaf:isPrimaryTopicOf,M0,M1,0,1,0.51855,1,0.7201,-1.99592,0.49975,-0.07427,0.24975,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48145,0.51855,0.51855,0.48145,0.51855,0.5,0.50034,0,0.02623,0,0.00069
dbo:Award,dbo:wikiPageLength,M0,M1,0,1,0.51855,1,0.7201,-1.99592,0.49975,-0.07427,0.24975,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48145,0.51855,0.51855,0.48145,0.51855,0.5,0.50034,0,0.02623,0,0.00069
dbo:Award,dbo:wikiPageOutDegree,M0,M1,0,1,0.51855,1,0.7201,-1.99592,0.49975,-0.07427,0.24975,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48145,0.51855,0.51855,0.48145,0.51855,0.5,0.50034,0,0.02623,0,0.00069
dbo:Award,dbp:nombre,M0,ANY,0,6,0.33921,0,0.66009,9.81344,0.56637,2.21333,0.32077,2,0,1,0,7,3,3.60555,-1.2,2.16025,0,4.66667,0.00036,0.69391,0.69391,0.69391,0.28232,0.14286,0.28324,3.64918,0.26417,1.98441,0.06979
dbo:Award,dbp:año,M0,M1,0,9,0.28952,0,0.64742,39.25926,0.57919,4.16314,0.33546,1,0,1,0,8,4.125,5.13566,-1.27548,3.27054,0.37518,10.69643,0.00036,0.74253,0.74253,0.74253,0.23947,0.125,0.27587,5.64421,0.26291,2.3695,0.06912
dbo:Award,dbo:thumbnail,M0,M1,0,1,0.27512,0,0.52452,-0.98526,0.44665,1.00769,0.1995,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.27512,0.72488,0.72488,0.72488,0.27512,0.5,0.54824,0,0.31803,0,0.10114
dbo:Award,foaf:depiction,M0,M1,0,1,0.27512,0,0.52452,-0.98526,0.44665,1.00769,0.1995,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.27512,0.72488,0.72488,0.72488,0.27512,0.5,0.54824,0,0.31803,0,0.10114
dbo:Award,http://wikidata.dbpedia.org/property/año,M0,M1,0,6,0.27044,0,0.57339,10.26093,0.5057,2.30845,0.25573,1,0,1,0,6,2.66667,3.31662,-0.3,2.16025,0.46291,4.66667,0.00036,0.74973,0.74973,0.74973,0.23623,0.16667,0.32094,3.92514,0.30045,2.00391,0.09027
dbo:Award,dbp:descripción,M0,M1,0,6,0.26503,0,0.58242,11.93383,0.51872,2.55808,0.26907,1,0,0,0,7,3,3.60555,-1.2,2.16025,0,4.66667,0.00036,0.76053,0.76053,0.76053,0.22182,0.14286,0.29947,5.13761,0.28429,2.26043,0.08082
dbo:Award,dbp:presentador,M0,ANY,0,7,0.24955,0,0.57714,17.22488,0.5205,2.95225,0.27092,2,0,0,0,7,3.14286,3.8545,-0.50341,2.4103,0.36728,5.80952,0.00036,0.77926,0.77926,0.77926,0.1995,0.14286,0.3041,5.55226,0.28996,2.34039,0.08408
dbo:Award,http://wikidata.dbpedia.org/property/descripción,M0,M1,0,5,0.24919,0,0.55455,10.30735,0.4955,2.45805,0.24552,1,0,0,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0.00036,0.77098,0.77098,0.77098,0.21534,0.16667,0.32682,4.35087,0.30796,2.08898,0.09484
dbo:Award,http://wikidata.dbpedia.org/property/presentador,M0,ANY,0,4,0.20058,0,0.49229,7.99378,0.44966,2.46968,0.20219,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0.00072,0.81635,0.81635,0.81635,0.16997,0.2,0.37295,4.11634,0.35194,2.02335,0.12386
dbo:Award,dbp:webOficial,M0,M1,0,1,0.19481,0,0.44138,0.37788,0.39613,1.54195,0.15692,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.19481,0.80519,0.80519,0.80519,0.19481,0.5,0.58578,0,0.4316,0,0.18628
dbo:Award,http://wikidata.dbpedia.org/property/webOficial,M0,M1,0,1,0.19445,0,0.44097,0.38684,0.39585,1.54485,0.1567,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.19445,0.80555,0.80555,0.80555,0.19445,0.5,0.58597,0,0.43211,0,0.18672
dbo:Award,http://dbpedia.org/property/año,M0,M1,0,4,0.17789,0,0.46405,9.72071,0.42867,2.72805,0.18376,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0.00036,0.83651,0.83651,0.83651,0.15304,0.2,0.38033,4.31893,0.36168,2.06966,0.13081
dbo:Award,foaf:homepage,M0,M1,0,1,0.16024,0,0.40031,1.43602,0.3669,1.85337,0.13461,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.16024,0.83976,0.83976,0.83976,0.16024,0.5,0.60451,0,0.48049,0,0.23087
dbo:Award,http://dbpedia.org/property/descripción,M0,M1,0,5,0.15916,0,0.44584,20.55048,0.41654,3.4857,0.1735,1,0,0,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0.00036,0.8538,0.8538,0.8538,0.13756,0.16667,0.35307,5.44833,0.34096,2.32041,0.11625
