"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M1",0,207,1.10108,0,4.06846,274.15982,3.91665,11.70843,15.34013,12,0,1,0,95,52.72632,65.40183,2.15482,38.9007,1.20724,1513.26473,1e-05,0.64384,0.64384,0.64384,0.25368,0.01053,0.07107,71.66008,0.07066,8.2636,0.00499
"M1",0,1,0.9811,1,0.99051,48.06389,0.1362,-7.07211,0.01855,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.0189,0.9811,0.9811,0.0189,0.9811,0.5,0.69387,0,0.68038,0,0.46292
"M1",0,1,0.9811,1,0.99051,48.06389,0.1362,-7.07211,0.01855,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.0189,0.9811,0.9811,0.0189,0.9811,0.5,0.69387,0,0.68038,0,0.46292
"M1",0,2,0.12972,0,0.363,3.52074,0.33911,2.28415,0.115,1,0,0,0,3,1,1.29099,0,1,0,1,0.00102,0.8713,0.8713,0.8713,0.12768,0.33333,0.50842,0,0.47018,1.59172,0.22106
"M1",0,34,0.22285,0,0.68292,828.5932,0.64556,19.53781,0.41675,1,0,0,0,13,10.23077,14.50994,1.03833,10.70945,1.37429,114.69231,7e-05,0.80281,0.80281,0.80281,0.18692,0.07692,0.22862,11.28314,0.22408,3.31707,0.05021
"M1",0,6,0.09047,0,0.31347,19.51203,0.30014,3.60767,0.09008,1,0,0,0,5,2.4,3.16228,1.12852,2.30217,1.03266,5.3,7e-05,0.91262,0.91262,0.91262,0.08469,0.2,0.40989,4.82891,0.40002,2.19161,0.16001
"M1",0,1,0.99443,1,0.99721,174.45013,0.07446,-13.28257,0.00554,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00557,0.99443,0.99443,0.00557,0.99443,0.5,0.70318,0,0.69922,0,0.48891
"M1",0,1,0.92841,1,0.96354,9.04563,0.25781,-3.32348,0.06647,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07159,0.92841,0.92841,0.07159,0.92841,0.5,0.65843,0,0.60586,0,0.36707
"M1",0,1,0.07763,0,0.27862,7.98919,0.26766,3.15928,0.07164,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.07763,0.92237,0.92237,0.92237,0.07763,0.5,0.65452,0,0.59732,0,0.35679
"M1",0,1,0.93127,1,0.96502,9.62469,0.253,-3.40944,0.06401,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.06873,0.93127,0.93127,0.06873,0.93127,0.5,0.6603,0,0.60991,0,0.37199
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,7,0.49535,0,0.70786,-1.65371,0.50566,0.10135,0.25569,1,0,1,0,8,3.5,4.1833,-1.2,2.44949,0,6,0,0.50723,0.50723,0.50723,0.49041,0.125,0.24945,0.01056,0.23077,1.44176,0.05326
"M1",0,1,0.92241,1,0.96042,7.97338,0.26753,-3.15802,0.07157,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07759,0.92241,0.92241,0.07759,0.92241,0.5,0.65455,0,0.59738,0,0.35686
"M1",0,1,0.93776,1,0.96838,11.13501,0.24159,-3.62417,0.05836,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.06224,0.93776,0.93776,0.06224,0.93776,0.5,0.66456,0,0.61909,0,0.38327
"M1",0,37,0.66246,1,1.03679,76.7615,0.79754,4.22306,0.63607,3,0,1,0,23,12.82609,16.19581,0.82186,10.11143,1.06066,102.24111,0,0.47652,0.47652,0.45039,0.47652,0.04348,0.13719,8.4902,0.13304,3.1087,0.0177
"M1",0,1,0.99443,1,0.99721,174.45013,0.07446,-13.28257,0.00554,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00557,0.99443,0.99443,0.00557,0.99443,0.5,0.70318,0,0.69922,0,0.48891
"M1",0,1,0.92841,1,0.96354,9.04563,0.25781,-3.32348,0.06647,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07159,0.92841,0.92841,0.07159,0.92841,0.5,0.65843,0,0.60586,0,0.36707
"M1",0,2,0.36497,0,0.60416,-1.68328,0.48147,0.5615,0.23181,1,0,1,0,3,1,1.29099,0,1,0,1,2e-05,0.63505,0.63505,0.63505,0.36493,0.33333,0.42287,0,0.31869,-0.44179,0.10156
"M1",0,7,0.49535,0,0.70786,-1.65371,0.50566,0.10135,0.25569,1,0,1,0,8,3.5,4.1833,-1.2,2.44949,0,6,0,0.50723,0.50723,0.50723,0.49041,0.125,0.24945,0.01056,0.23077,1.44176,0.05326
"M1",0,1,0.96027,1,0.97993,20.21106,0.19533,-4.71284,0.03815,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.03973,0.96027,0.96027,0.03973,0.96027,0.5,0.67959,0,0.65092,0,0.42369
"M1",0,2,0.93778,1,0.96841,11.13309,0.24163,-3.6211,0.05838,1,0,1,1,3,1,1.29099,0,1,0,1,2e-05,0.93775,0.93775,0.06224,0.93775,0.33333,0.5426,0,0.52436,1.70466,0.27495
