"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,16,0.15255,0,0.41446,36.12785,0.38536,3.39325,0.1485,1,0,0,0,11,5.81818,7.37317,0.71075,4.75012,0.95235,22.56364,1e-05,0.85315,0.85315,0.85315,0.14312,0.09091,0.26083,10.17754,0.25641,3.16364,0.06574
"M0",0,30,0.59986,0,1.03935,61.16024,0.84877,4.64757,0.72042,3,0,1,0,23,11.6087,13.93931,-0.2285,7.8898,0.51068,62.24901,1e-05,0.51747,0.51747,0.51747,0.41322,0.04348,0.13845,9.21907,0.1344,3.18887,0.01806
"M0",0,21,0.77617,1,0.96102,16.56555,0.56667,1.07814,0.32111,2,0,1,0,10,5.7,8.03119,5.42991,5.96378,2.11587,35.56667,1e-05,0.67838,0.67838,0.27916,0.67838,0.1,0.23222,6.0709,0.22092,2.47572,0.04881
"M0",0,20,0.53106,0,1.79309,23.88587,1.71264,4.6083,2.93315,7,0,0,0,21,10,11.69045,-1.2,6.20484,0,38.5,0,0.81069,0.81069,0.81069,0.11978,0.04762,0.17889,19.99021,0.1767,4.43806,0.03122
"M0",0,51,0.24558,0,1.13775,94.45898,1.11093,6.89852,1.23417,5,0,0,0,29,15.27586,18.88349,2.17274,11.29759,1.16395,127.63547,1e-05,0.93768,0.93768,0.93768,0.00813,0.03448,0.17419,28.95788,0.17377,5.37954,0.0302
"M0",0,139,7.51428,2,10.80358,9.82263,7.76236,2.32791,60.25421,30,0,10,2,79,40.79747,48.84916,1.2736,27.03814,0.81626,731.06102,2e-05,0.12781,0.12781,0.05115,0.09777,0.01266,0.02908,8.38451,0.02635,2.85944,0.00069
"M0",0,26,0.52709,0,0.86676,34.67064,0.68808,2.69996,0.47346,2,0,1,0,17,9,11.24853,0.86697,6.95521,0.98147,48.375,1e-05,0.54713,0.54713,0.54713,0.39907,0.05882,0.16456,6.52527,0.15842,2.72759,0.0251
"M0",0,6,0.38145,0,0.89927,4.18893,0.81437,2.1902,0.66319,3,0,0,0,7,3,3.60555,-1.2,2.16025,0,4.66667,6e-05,0.78343,0.78343,0.78343,0.09439,0.14286,0.30023,6.56942,0.28522,2.54161,0.08135
"M0",0,1,0.15015,0,0.3875,1.84432,0.35731,1.96021,0.12767,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.15015,0.84985,0.84985,0.84985,0.15015,0.5,0.61024,0,0.49476,0,0.24479
"M0",0,26,0.52709,0,0.86676,34.67064,0.68808,2.69996,0.47346,2,0,1,0,17,9,11.24853,0.86697,6.95521,0.98147,48.375,1e-05,0.54713,0.54713,0.54713,0.39907,0.05882,0.16456,6.52527,0.15842,2.72759,0.0251
"M0",0,307,1.18351,0,7.21156,336.83115,7.11382,14.42119,50.60645,16,0,0,0,153,84.13725,103.48828,2.19047,60.45356,1.17188,3654.63235,1e-05,0.86917,0.86917,0.86917,0.0233,0.00654,0.07039,151.93126,0.07032,12.30658,0.00494
"M0",0,233,0.35287,0,2.14054,1802.55843,2.11127,25.2594,4.45744,6,0,0,0,58,37.36207,52.67712,12.29209,37.45861,2.86671,1403.14731,1e-05,0.92454,0.92454,0.92454,0.02666,0.01724,0.12147,57.87605,0.12129,7.60395,0.01471
"M0",0,110,5.91583,4,8.1278,27.95941,5.57356,3.97109,31.06462,23,0,7,3,83,42.20482,49.51828,-0.77602,26.05752,0.24382,678.99412,2e-05,0.25013,0.25013,0.07127,0.00157,0.01205,0.0405,23.63537,0.0389,4.6803,0.00151
"M0",0,37,0.32631,0,0.88857,149.31314,0.82649,8.03674,0.68309,2,0,0,0,22,11.5,14.30671,2.17927,8.71097,1.19534,75.88095,2e-05,0.75379,0.75379,0.75379,0.2133,0.04545,0.16706,18.36987,0.16454,4.21422,0.02707
"M0",0,4,0.42016,0,0.64839,-1.88233,0.49384,0.32686,0.24387,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.57995,0.57995,0.57995,0.41993,0.2,0.32022,-2.27717,0.27959,0.79122,0.07817
"M0",0,634,2.77511,0,10.48077,403.29597,10.10674,14.1609,102.14625,24,0,2,0,190,111.03684,142.99004,7.51452,90.33227,2.01323,8159.91927,1e-05,0.45775,0.45775,0.45775,0.21132,0.00526,0.03803,114.86626,0.03776,10.23852,0.00143
"M0",0,707,1.16246,0,3.20043,3552.23612,2.98185,27.52745,8.89143,8,0,1,0,154,96.78571,137.41796,13.31065,97.86939,3.08463,9578.41783,0,0.58994,0.58994,0.58994,0.17632,0.00649,0.05046,121.90084,0.0502,10.69061,0.00252
"M0",0,127,5.64381,3,8.8984,60.78757,6.87963,6.26643,47.3293,26,1,5,3,124,62.1129,72.13003,-1.16031,36.81931,0.05499,1355.66195,1e-05,0.48225,0.48225,0.01309,0.00718,0.00806,0.04698,90.80663,0.04647,9.16944,0.00216
"M0",0,1,0.96911,1,0.98443,27.40393,0.17302,-5.42253,0.02994,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.03089,0.96911,0.96911,0.03089,0.96911,0.5,0.68561,0,0.66342,0,0.44013
"M0",0,94,0.26485,0,1.5273,245.716,1.50416,10.56487,2.2625,5,0,0,0,41,22.97561,29.92674,5.07662,19.41454,1.93161,376.92439,1e-05,0.94493,0.94493,0.94493,0.0135,0.02439,0.1476,40.97053,0.14738,6.39977,0.02172
"M0",0,1,0.92842,1,0.96355,9.0485,0.25779,-3.32391,0.06645,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07158,0.92842,0.92842,0.07158,0.92842,0.5,0.65844,0,0.60588,0,0.36709
