Class	Property	Count	Min. Ann.	Max. Ann.	Min	Max	Mean	0	1	2	3	4	5	6	7	8	9	10	11	12	13
dbo:Place	geo:long	925383	M0	M1	0	9	0.818560531	0.20516	0.77118	0.02362	0.00003	0.00001	0.00001	0	0	0	0	0	0	0	0
dbo:Place	dbo:country	925383	M0	M1	0	20	0.600203375	0.42191	0.5583	0.01773	0.00197	0.00003	0.00002	0.00001	0.00001	0.00001	0	0	0	0	0
dbo:Place	dbp:name	925383	M0	M1	0	300	0.596046178	0.43721	0.54961	0.01061	0.00134	0.00043	0.00013	0.00003	0.00003	0.00002	0.00001	0	0.00001	0.00001	0.00001
dbo:Place	foaf:depiction	925383	M0	M1	0	7	0.495348412	0.50723	0.49041	0.00217	0.00016	0.00002	0.00001	0	0	0	0	0	0	0	0
dbo:Place	dbo:thumbnail	925383	M0	M1	0	1	0.492747327	0.50725	0.49275	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:utcOffset	925383	M0	ANY	0	5	0.474206896	0.72046	0.08495	0.19454	0.00001	0.00003	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:location	925383	M0	M1	0	152	0.378404401	0.78344	0.12859	0.05672	0.02187	0.0047	0.00135	0.00063	0.00044	0.00029	0.00026	0.00022	0.00017	0.00014	0.00012
dbo:Place	dbp:latns	925383	M0	M1	0	1	0.372044872	0.62796	0.37204	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:longew	925383	M0	M1	0	1	0.372021098	0.62798	0.37202	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:longd	925383	M0	M1	0	9	0.358289487	0.64176	0.35821	0.00003	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:latd	925383	M0	M1	0	7	0.358273277	0.64176	0.35821	0.00003	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:settlementType	925383	M0	M1	0	5	0.350475425	0.65033	0.3489	0.00075	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:populationTotal	925383	M0	M1	0	4	0.348689137	0.65309	0.34515	0.00176	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:timeZone	925383	M0	M1	0	4	0.33198038	0.725	0.21805	0.05693	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:longm	925383	M0	M1	0	4	0.316326321	0.68369	0.31629	0.00001	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbp:latm	925383	M0	M1	0	5	0.316326321	0.6837	0.31628	0.00002	0	0	0	0	0	0	0	0	0	0	0
